lotNumber,vendor,name,vendorItemNo,quantity,price,type
10523W,TS,ponatinib 15 mg tablet; 60,Iclusig,60,5608.61,Medication
10524X,TS,ponatinib 45 mg tablet; 30,Iclusig,30,6328.05,Medication
10526B,SE,lurasidone hydrochloride 40 mg tablet; 30,Latuda,30,61.97,Medication
10527C,NT,amino acid formula with fat; carbohydrate; vitamins; minerals; trace elements and medium chain triglycerides oral liquid: powder for; 400 g,Alfamino Junior,8,39.15,Medication
10528D,QH,glycomacropeptide and essential amino acids with vitamins and minerals 15 g protein equivalent oral liquid; 30 x 250 mL cartons,Tylactin RTD,4,738,Medication
10529E,SE,lurasidone hydrochloride 80 mg tablet; 30,Latuda,30,123.94,Medication
1052J,GX,aciclovir 800 mg tablet; 35,GenRx Aciclovir,35,31.06,Medication
1052J,AF,aciclovir 800 mg tablet; 35,Acyclo-V 800,35,31.06,Medication
1052J,CR,aciclovir 800 mg tablet; 35,Aciclovir 800,35,31.06,Medication
1052J,HX,aciclovir 800 mg tablet; 35,Aciclovir Sandoz,35,31.06,Medication
10530F,TS,ponatinib 45 mg tablet; 30,Iclusig,30,6328.05,Medication
10536M,AQ,brinzolamide 1% + brimonidine tartrate 0.2% eye drops; 5 mL,Simbrinza 1%/0.2%,1,15.4,Medication
10538P,NV,rivastigmine 13.3 mg/24 hours patch; 30,Exelon Patch 15,30,64.64,Medication
10539Q,PF,axitinib 1 mg tablet; 28,Inlyta,56,504,Medication
10540R,PF,axitinib 5 mg tablet; 28,Inlyta,56,2520,Medication
10541T,NV,rivastigmine 13.3 mg/24 hours patch; 30,Exelon Patch 15,30,64.64,Medication
10547D,AQ,brinzolamide 1% + brimonidine tartrate 0.2% eye drops; 5 mL,Simbrinza 1%/0.2%,1,15.4,Medication
10551H,TW,rizatriptan 10 mg orally disintegrating tablet; 2,Terry White Chemists Rizatriptan,4,6.35,Medication
10551H,CH,rizatriptan 10 mg orally disintegrating tablet; 2,Chem mart Rizatriptan,4,6.35,Medication
10551H,GQ,rizatriptan 10 mg orally disintegrating tablet; 2,Rizatriptan ODT GH,4,6.35,Medication
10551H,EA,rizatriptan 10 mg orally disintegrating tablet; 2,Rizatriptan AN ODT,4,6.35,Medication
10551H,TX,rizatriptan 10 mg orally disintegrating tablet; 2,APO-Rizatriptan,4,6.35,Medication
10555M,PF,zoledronic acid 5 mg/100 mL injection; 100 mL bag,Ostira,1,437.77,Medication
10556N,PF,axitinib 5 mg tablet; 28,Inlyta,56,2520,Medication
10557P,BY,tiotropium 2.5 microgram/actuation + olodaterol 2.5 microgram/actuation inhalation solution; 60 actuations,Spiolto Respimat,1,73.4,Medication
10565C,FK,aclidinium 340 microgram/actuation + eformoterol fumarate dihydrate 12 microgram/actuation inhalation: powder for; 60 actuations,Brimica Genuair,1,74.49,Medication
10571J,PF,zoledronic acid 5 mg/100 mL injection; 100 mL bag,Ostira,1,437.77,Medication
10572K,PF,axitinib 1 mg tablet; 28,Inlyta,56,504,Medication
10605E,PF,flucloxacillin 1 g injection; 10 vials,Hospira Pty Limited,5,9.9,Medication
10609J,PF,flucloxacillin 1 g injection; 10 vials,Hospira Pty Limited,5,9.9,Medication
10614P,NV,ruxolitinib 5 mg tablet; 56,Jakavi,112,2500,Medication
10615Q,NV,ruxolitinib 15 mg tablet; 56,Jakavi,56,5000,Medication
10616R,NV,ruxolitinib 5 mg tablet; 56,Jakavi,112,2500,Medication
10617T,NV,ruxolitinib 20 mg tablet; 56,Jakavi,56,5000,Medication
10618W,NV,ruxolitinib 20 mg tablet; 56,Jakavi,56,5000,Medication
10619X,NV,ruxolitinib 15 mg tablet; 56,Jakavi,56,5000,Medication
10624E,GI,sofosbuvir 400 mg tablet; 28,Sovaldi,28,19297.75,Medication
10626G,BY,empagliflozin 5 mg + metformin hydrochloride 500 mg tablet; 60,Jardiamet 5 mg/500 mg,60,48.51,Medication
10627H,BY,empagliflozin 5 mg + metformin hydrochloride 1 g tablet; 60,Jardiamet 5 mg/1000 mg,60,49.92,Medication
10628J,GI,ledipasvir 90 mg + sofosbuvir 400 mg tablet; 28,Harvoni,28,22066.67,Medication
1062X,YN,bethanechol chloride 10 mg tablet; 100,Uro-Carb,100,24.95,Medication
10632N,OH,amino acid formula with fat; carbohydrate; vitamins; minerals and trace elements without phenylalanine oral liquid: powder for; 30 x 34 g bottles,PKU Easy Shake & Go,4,353.36,Medication
10633P,BY,empagliflozin 12.5 mg + metformin hydrochloride 500 mg tablet; 60,Jardiamet 12.5 mg/500 mg,60,48.51,Medication
10639Y,BY,empagliflozin 12.5 mg + metformin hydrochloride 500 mg tablet; 60,Jardiamet 12.5 mg/500 mg,60,48.51,Medication
10640B,BY,empagliflozin 12.5 mg + metformin hydrochloride 1 g tablet; 60,Jardiamet 12.5 mg/1000 mg,60,49.92,Medication
10642D,BQ,daclatasvir 60 mg tablet; 28,Daklinza,28,7666.67,Medication
10645G,BQ,daclatasvir 30 mg tablet; 28,Daklinza,28,7666.67,Medication
10647J,IX,ribavirin 400 mg tablet; 28,Ibavyr,28,140,Medication
10649L,BY,empagliflozin 5 mg + metformin hydrochloride 1 g tablet; 60,Jardiamet 5 mg/1000 mg,60,49.92,Medication
10650M,BY,empagliflozin 5 mg + metformin hydrochloride 500 mg tablet; 60,Jardiamet 5 mg/500 mg,60,48.51,Medication
10652P,QH,glycomacropeptide and essential amino acids with vitamins and minerals oral liquid: powder for; 30 x 49 g sachets,Camino Pro Bettermilk,4,360.73,Medication
10656W,VE,leuprorelin acetate 45 mg injection: modified release [1] (&) inert substance diluent [1 syringe]; 1 pack,Lucrin Depot 6-Month,1,1878.74,Medication
10657X,GI,sofosbuvir 400 mg tablet; 28,Sovaldi,28,19297.75,Medication
10658Y,OH,protein formula with amino acids; carbohydrates; vitamins and minerals without phenylalanine; and supplemented with docosahexaenoic acid oral liquid; 30 x 130 mL pouches,PKU Easy,4,353.16,Medication
10659B,BQ,daclatasvir 60 mg tablet; 28,Daklinza,28,7666.67,Medication
10665H,IX,ribavirin 600 mg tablet; 28,Ibavyr,28,210,Medication
10666J,IX,ribavirin 600 mg tablet; 28,Ibavyr,28,210,Medication
10668L,GI,ledipasvir 90 mg + sofosbuvir 400 mg tablet; 28,Harvoni,28,22066.67,Medication
10670N,GI,ledipasvir 90 mg + sofosbuvir 400 mg tablet; 28,Harvoni,28,22066.67,Medication
10671P,BQ,daclatasvir 30 mg tablet; 28,Daklinza,28,7666.67,Medication
10673R,IX,ribavirin 400 mg tablet; 28,Ibavyr,28,140,Medication
10677Y,BY,empagliflozin 12.5 mg + metformin hydrochloride 1 g tablet; 60,Jardiamet 12.5 mg/1000 mg,60,49.92,Medication
10682F,RO,trastuzumab 600 mg/5 mL injection; 5 mL vial,Herceptin SC,1,2795.85,Medication
10683G,OH,amino acid formula with fat; carbohydrate without phenylalanine tablet: modified release; 4 x 110 g,PKU Easy Microtabs,5,255.69,Medication
10685J,AS,nadroparin calcium 3800 anti-Xa international units/0.4 mL injection; 2 x 0.4 mL syringes,Fraxiparine,4,6.65,Medication
10686K,AS,nadroparin calcium 2850 anti-Xa international units/0.3 mL injection; 2 x 0.3 mL syringes,Fraxiparine,4,4.99,Medication
10687L,AS,nadroparin calcium 1900 anti-Xa international units/0.2 mL injection; 2 x 0.2 mL syringes,Fraxiparine,4,3.33,Medication
10693T,NU,amino acid formula with vitamins and minerals without methionine oral liquid: powder for; 30 x 36 g sachets,HCU Anamix Junior,4,467.4,Medication
10694W,AS,SUMATRIPTAN Tablet 50 mg (base) (fast disintegrating); 4,Imigran FDT,4,5.38,Medication
10701F,AS,nadroparin calcium 2850 anti-Xa international units/0.3 mL injection; 2 x 0.3 mL syringes,Fraxiparine,4,4.99,Medication
10702G,AS,nadroparin calcium 9500 anti-Xa international units/mL injection; 2 x 1 mL syringes,Fraxiparine,2,16.63,Medication
10703H,RO,rituximab 1.4 g/11.7 mL injection; 11.7 mL vial,Mabthera SC,1,2703.78,Medication
10706L,AS,nadroparin calcium 11 400 anti-Xa international units/0.6 mL injection; 2 x 0.6 mL syringes,Fraxiparine Forte,2,19.95,Medication
10707M,AS,nadroparin calcium 19 000 anti-Xa international units/mL injection; 2 x 1 mL syringes,Fraxiparine Forte,2,33.25,Medication
10709P,RO,rituximab 1.4 g/11.7 mL injection; 11.7 mL vial,Mabthera SC,1,2703.78,Medication
1070H,PP,thiamine hydrochloride 100 mg tablet; 100,Betavit,100,3.62,Medication
10715Y,NU,amino acid formula with vitamins and minerals without lysine and low in tryptophan powder for oral liquid; 30 x 18 g sachets,GA1 Anamix Junior,8,233.7,Medication
10716B,AS,nadroparin calcium 5700 anti-Xa international units/0.6 mL injection; 2 x 0.6 mL syringes,Fraxiparine,4,9.98,Medication
10717C,AS,nadroparin calcium 3800 anti-Xa international units/0.4 mL injection; 2 x 0.4 mL syringes,Fraxiparine,4,6.65,Medication
10718D,AS,nadroparin calcium 5700 anti-Xa international units/0.6 mL injection; 2 x 0.6 mL syringes,Fraxiparine,4,9.98,Medication
10719E,RO,rituximab 1.4 g/11.7 mL injection; 11.7 mL vial,Mabthera SC,1,2703.78,Medication
10721G,RO,trastuzumab 600 mg/5 mL injection; 5 mL vial,Herceptin SC,1,2795.85,Medication
10725L,AS,nadroparin calcium 15 200 anti-Xa international units/0.8 mL injection; 2 x 0.8 mL syringes,Fraxiparine Forte,2,26.6,Medication
10730R,NU,amino acid formula with vitamins and minerals without methionine; threonine and valine and low in isoleucine oral liquid: powder for; 30 x 18 g sachets,MMA/PA Anamix Junior,8,233.7,Medication
10731T,MF,netupitant 300 mg + palonosetron 500 microgram capsule; 1,Akynzeo,1,103.01,Medication
10732W,YN,itraconazole 50 mg capsule; 60,Lozanoc,60,109.35,Medication
10733X,AS,nadroparin calcium 9500 anti-Xa international units/mL injection; 2 x 1 mL syringes,Fraxiparine,4,16.63,Medication
10734Y,AS,nadroparin calcium 7600 anti-Xa international units/0.8 mL injection; 2 x 0.8 mL syringes,Fraxiparine,2,13.3,Medication
10735B,AS,nadroparin calcium 1900 anti-Xa international units/0.2 mL injection; 2 x 0.2 mL syringes,Fraxiparine,4,3.33,Medication
10736C,OH,citrulline 1 g tablet; 300,Citrulline Easy,1,1082.34,Medication
10740G,AS,nadroparin calcium 7600 anti-Xa international units/0.8 mL injection; 2 x 0.8 mL syringes,Fraxiparine,4,13.3,Medication
10742J,RO,rituximab 1.4 g/11.7 mL injection; 11.7 mL vial,Mabthera SC,1,2703.78,Medication
10746N,MF,buprenorphine 40 microgram/hour patch; 2,Norspan,2,62.51,Medication
10747P,VE,paritaprevir 75 mg + ritonavir 50 mg + ombitasvir 12.5 mg tablet [56] (&) dasabuvir 250 mg tablet [56] (&) ribavirin 600 mg tablet [56]; 1 pack,Viekira Pak-RBV,1,13853.13,Medication
10755C,MF,buprenorphine 30 microgram/hour patch; 2,Norspan,2,50.01,Medication
10756D,MF,buprenorphine 25 microgram/hour patch; 2,Norspan,2,43.76,Medication
10757E,MF,oxycodone hydrochloride 15 mg + naloxone hydrochloride 7.5 mg modified release tablet; 28,Targin 15/7.5mg,28,21.47,Medication
10758F,MF,oxycodone hydrochloride 30 mg + naloxone hydrochloride 15 mg modified release tablet; 28,Targin 30/15 mg,28,36.62,Medication
10759G,SZ,esomeprazole 20 mg tablet: enteric [14 tablets] (&) clarithromycin 500 mg tablet [14 tablets] (&) amoxycillin 500 mg capsule [28 capsules]; 1 pack,ESOMEPRAZOLE SANDOZ Hp7,1,31.67,Medication
10766P,VE,paritaprevir 75 mg + ritonavir 50 mg + ombitasvir 12.5 mg tablet [56] (&) dasabuvir 250 mg tablet [56]; 4 x 28,Viekira Pak,1,13853.13,Medication
10767Q,JC,ustekinumab 45 mg/0.5 mL injection; 0.5 mL vial,Stelara,1,4232.31,Medication
10769T,VE,paritaprevir 75 mg + ritonavir 50 mg + ombitasvir 12.5 mg tablet [56] (&) dasabuvir 250 mg tablet [56] (&) ribavirin 600 mg tablet [56]; 1 pack,Viekira Pak-RBV,1,13853.13,Medication
1076P,PF,heparin sodium 35 000 units/35 mL injection; 35 mL vial,Hospira Pty Limited,12,26.2,Medication
10770W,MF,buprenorphine 15 microgram/hour patch; 2,Norspan,2,30.91,Medication
10771X,VE,paritaprevir 75 mg + ritonavir 50 mg + ombitasvir 12.5 mg tablet [56] (&) dasabuvir 250 mg tablet [56] (&) ribavirin 200 mg tablet [168]; 1 pack,Viekira Pak-RBV,1,13853.13,Medication
10772Y,VE,paritaprevir 75 mg + ritonavir 50 mg + ombitasvir 12.5 mg tablet [56] (&) dasabuvir 250 mg tablet [56] (&) ribavirin 200 mg tablet [168]; 1 pack,Viekira Pak-RBV,1,13853.13,Medication
10774C,JC,ustekinumab 45 mg/0.5 mL injection; 0.5 mL vial,Stelara,1,4232.31,Medication
10776E,MF,oxycodone hydrochloride 2.5 mg + naloxone hydrochloride 1.25 mg modified release tablet; 28,Targin 2.5/1.25 mg,28,9.17,Medication
10777F,YN,doxycycline 100 mg modified release capsule; 7,Doryx,28,1.36,Medication
10777F,YT,doxycycline 100 mg modified release capsule; 7,Mayne Pharma Doxycycline,28,1.36,Medication
10778G,RA,cephalexin 500 mg capsule; 20,Rancef,40,1.73,Medication
10778G,GQ,cephalexin 500 mg capsule; 20,Cephalexin generichealth,40,1.73,Medication
10778G,CH,cephalexin 500 mg capsule; 20,Chem mart Cephalexin,40,1.73,Medication
10778G,LN,cephalexin 500 mg capsule; 20,Ialex,40,1.73,Medication
10778G,AS,cephalexin 500 mg capsule; 20,Keflex,40,1.73,Medication
10778G,SZ,cephalexin 500 mg capsule; 20,Cefalexin Sandoz,40,1.73,Medication
10778G,ED,cephalexin 500 mg capsule; 20,Cilex,40,1.73,Medication
10778G,TX,cephalexin 500 mg capsule; 20,APO-Cephalexin,40,1.73,Medication
10778G,AF,cephalexin 500 mg capsule; 20,Ibilex 500,40,1.73,Medication
10778G,EA,cephalexin 500 mg capsule; 20,Cephalexin AN,40,1.73,Medication
10778G,TW,cephalexin 500 mg capsule; 20,Terry White Chemists Cephalexin,40,1.73,Medication
10778G,CR,cephalexin 500 mg capsule; 20,Cephalex 500,40,1.73,Medication
10779H,EA,doxycycline 100 mg tablet; 7,Doxycycline AN,28,1.36,Medication
10779H,AF,doxycycline 100 mg tablet; 7,Doxylin 100,28,1.36,Medication
10779H,RW,doxycycline 100 mg tablet; 7,Doxsig,28,1.36,Medication
10780J,YN,erythromycin 250 mg enteric capsule; 25,Eryc,50,4.45,Medication
10780J,YT,erythromycin 250 mg enteric capsule; 25,Mayne Pharma Erythromycin,50,4.45,Medication
10781K,TW,doxycycline 100 mg tablet; 7,Terry White Chemists Doxycycline,28,1.36,Medication
10781K,GX,doxycycline 100 mg tablet; 7,GenRx Doxycycline,28,1.36,Medication
10781K,HX,doxycycline 100 mg tablet; 7,Doxycycline Sandoz,28,1.36,Medication
10781K,CH,doxycycline 100 mg tablet; 7,Chem mart Doxycycline,28,1.36,Medication
10782L,CS,sodium fusidate 250 mg tablet; 36,Fucidin,72,67.85,Medication
10783M,PF,naloxone hydrochloride 400 microgram/mL injection; 5 x 1 mL ampoules,Naloxone Hydrochloride (DBL),5,79.05,Medication
10784N,RW,trimethoprim 160 mg + sulfamethoxazole 800 mg tablet; 10,Septrin Forte,30,2.28,Medication
10784N,AF,trimethoprim 160 mg + sulfamethoxazole 800 mg tablet; 10,Resprim Forte,30,2.28,Medication
10784N,RO,trimethoprim 160 mg + sulfamethoxazole 800 mg tablet; 10,Bactrim DS,30,2.28,Medication
10785P,AF,trimethoprim 300 mg tablet; 7,Alprim,28,1.58,Medication
10785P,RW,trimethoprim 300 mg tablet; 7,Triprim,28,1.58,Medication
10787R,PF,naloxone hydrochloride 400 microgram/mL injection; 5 x 1 mL ampoules,Naloxone Hydrochloride (DBL),5,79.05,Medication
10788T,AF,flucloxacillin 500 mg capsule; 24,Staphylex 500,48,8.08,Medication
10788T,TX,flucloxacillin 500 mg capsule; 24,APO-Flucloxacillin,48,8.08,Medication
10788T,AS,flucloxacillin 500 mg capsule; 24,Flopen,48,8.08,Medication
10789W,AF,erythromycin (as ethylsuccinate) 400 mg tablet; 25,E-Mycin,50,4.56,Medication
10789W,GH,erythromycin (as ethylsuccinate) 400 mg tablet; 25,E.E.S. 400 Filmtab,50,4.56,Medication
10790X,AF,dicloxacillin 500 mg capsule; 24,Distaph 500,48,8.97,Medication
10791Y,MK,mometasone furoate 0.1% ointment; 15 g,Elocon,10,3.85,Medication
10791Y,AF,mometasone furoate 0.1% ointment; 15 g,Novasone,10,3.85,Medication
10791Y,EO,mometasone furoate 0.1% ointment; 15 g,Zatamil,10,3.85,Medication
10792B,QA,mometasone furoate 0.1% cream; 15 g,Momasone,10,3.85,Medication
10792B,AF,mometasone furoate 0.1% cream; 15 g,Novasone,10,3.85,Medication
10792B,MK,mometasone furoate 0.1% cream; 15 g,Elocon Alcohol Free,10,3.85,Medication
10793C,MK,mometasone furoate 0.1% ointment; 15 g,Elocon,8,3.85,Medication
10793C,AF,mometasone furoate 0.1% ointment; 15 g,Novasone,8,3.85,Medication
10793C,EO,mometasone furoate 0.1% ointment; 15 g,Zatamil,8,3.85,Medication
10794D,FM,betamethasone (as valerate) 0.05% cream; 15 g,Cortival 1/2,4,1.61,Medication
10794D,QA,betamethasone (as valerate) 0.05% cream; 15 g,Betnovate 1/2,4,1.61,Medication
10795E,MK,betamethasone (as dipropionate) 0.05% ointment; 15 g,Diprosone,2,5.43,Medication
10795E,FR,betamethasone (as dipropionate) 0.05% ointment; 15 g,Eleuphrat,2,5.43,Medication
10797G,CR,paracetamol 665 mg tablet: modified release; 192,Osteomol 665 Paracetamol,192,6.94,Medication
10798H,RO,trastuzumab 600 mg/5 mL injection; 5 mL vial,Herceptin SC,1,2795.85,Medication
10799J,FM,betamethasone (as valerate) 0.05% cream; 15 g,Cortival 1/2,2,1.61,Medication
10799J,QA,betamethasone (as valerate) 0.05% cream; 15 g,Betnovate 1/2,2,1.61,Medication
10800K,MK,betamethasone (as dipropionate) 0.05% cream; 15 g,Diprosone,4,5.43,Medication
10800K,FR,betamethasone (as dipropionate) 0.05% cream; 15 g,Eleuphrat,4,5.43,Medication
10801L,MK,betamethasone (as dipropionate) 0.05% cream; 15 g,Diprosone,8,5.43,Medication
10801L,FR,betamethasone (as dipropionate) 0.05% cream; 15 g,Eleuphrat,8,5.43,Medication
10802M,MK,betamethasone (as dipropionate) 0.05% cream; 15 g,Diprosone,10,5.43,Medication
10802M,FR,betamethasone (as dipropionate) 0.05% cream; 15 g,Eleuphrat,10,5.43,Medication
10803N,RO,trastuzumab 600 mg/5 mL injection; 5 mL vial,Herceptin SC,1,2795.85,Medication
10804P,MK,mometasone furoate 0.1% lotion; 30 mL,Elocon,5,6.07,Medication
10804P,QA,mometasone furoate 0.1% lotion; 30 mL,Momasone,5,6.07,Medication
10804P,AF,mometasone furoate 0.1% lotion; 30 mL,Novasone,5,6.07,Medication
10804P,EO,mometasone furoate 0.1% lotion; 30 mL,Zatamil,5,6.07,Medication
10805Q,EO,mometasone furoate 0.1% lotion; 30 mL,Zatamil,4,6.07,Medication
10805Q,AF,mometasone furoate 0.1% lotion; 30 mL,Novasone,4,6.07,Medication
10805Q,MK,mometasone furoate 0.1% lotion; 30 mL,Elocon,4,6.07,Medication
10805Q,QA,mometasone furoate 0.1% lotion; 30 mL,Momasone,4,6.07,Medication
10806R,OH,amino acid formula with carbohydrate; vitamins; minerals and trace elements without phenylalanine oral liquid: powder for; 30 x 20 g sachets,PKU Go,4,223.67,Medication
10807T,QA,betamethasone (as valerate) 0.05% cream; 15 g,Betnovate 1/2,8,1.61,Medication
10807T,FM,betamethasone (as valerate) 0.05% cream; 15 g,Cortival 1/2,8,1.61,Medication
10808W,FM,betamethasone (as valerate) 0.05% cream; 15 g,Cortival 1/2,6,1.61,Medication
10808W,QA,betamethasone (as valerate) 0.05% cream; 15 g,Betnovate 1/2,6,1.61,Medication
10809X,AF,mometasone furoate 0.1% cream; 15 g,Novasone,4,3.85,Medication
10809X,QA,mometasone furoate 0.1% cream; 15 g,Momasone,4,3.85,Medication
10809X,MK,mometasone furoate 0.1% cream; 15 g,Elocon Alcohol Free,4,3.85,Medication
10810Y,QA,betamethasone (as valerate) 0.05% cream; 15 g,Betnovate 1/2,10,1.61,Medication
10810Y,FM,betamethasone (as valerate) 0.05% cream; 15 g,Cortival 1/2,10,1.61,Medication
10812C,MK,mometasone furoate 0.1% ointment; 15 g,Elocon,2,3.85,Medication
10812C,EO,mometasone furoate 0.1% ointment; 15 g,Zatamil,2,3.85,Medication
10812C,AF,mometasone furoate 0.1% ointment; 15 g,Novasone,2,3.85,Medication
10813D,MK,betamethasone (as dipropionate) 0.05% cream; 15 g,Diprosone,6,5.43,Medication
10813D,FR,betamethasone (as dipropionate) 0.05% cream; 15 g,Eleuphrat,6,5.43,Medication
10814E,EO,mometasone furoate 0.1% ointment; 15 g,Zatamil,4,3.85,Medication
10814E,AF,mometasone furoate 0.1% ointment; 15 g,Novasone,4,3.85,Medication
10814E,MK,mometasone furoate 0.1% ointment; 15 g,Elocon,4,3.85,Medication
10815F,AF,mometasone furoate 0.1% cream; 15 g,Novasone,6,3.85,Medication
10815F,MK,mometasone furoate 0.1% cream; 15 g,Elocon Alcohol Free,6,3.85,Medication
10815F,QA,mometasone furoate 0.1% cream; 15 g,Momasone,6,3.85,Medication
10816G,MK,betamethasone (as dipropionate) 0.05% ointment; 15 g,Diprosone,8,5.43,Medication
10816G,FR,betamethasone (as dipropionate) 0.05% ointment; 15 g,Eleuphrat,8,5.43,Medication
10818J,MK,mometasone furoate 0.1% cream; 15 g,Elocon Alcohol Free,8,3.85,Medication
10818J,QA,mometasone furoate 0.1% cream; 15 g,Momasone,8,3.85,Medication
10818J,AF,mometasone furoate 0.1% cream; 15 g,Novasone,8,3.85,Medication
10819K,MK,mometasone furoate 0.1% lotion; 30 mL,Elocon,2,6.07,Medication
10819K,AF,mometasone furoate 0.1% lotion; 30 mL,Novasone,2,6.07,Medication
10819K,EO,mometasone furoate 0.1% lotion; 30 mL,Zatamil,2,6.07,Medication
10819K,QA,mometasone furoate 0.1% lotion; 30 mL,Momasone,2,6.07,Medication
